"Path","Lines","SizeKB"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\api\manifest\route.ts","27","1.05"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\customers\[id]\page.tsx","118","4.82"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\customers\new\page.tsx","30","0.99"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\customers\page.tsx","137","6.17"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\dashboard\page.tsx","549","26.62"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\globals.css","1002","33.21"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\goods-receiving\[id]\page.tsx","511","20.53"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\goods-receiving\new\page.tsx","590","25.06"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\goods-receiving\page.tsx","93","4.75"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\hr\attendance\[id]\page.tsx","81","4.5"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\hr\attendance\page.tsx","86","4.44"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\hr\departments\page.tsx","278","13.39"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\hr\employees\[id]\page.tsx","773","41.93"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\hr\employees\new\page.tsx","376","22.29"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\hr\locations\page.tsx","442","22.91"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\hr\payroll\[id]\page.tsx","123","5.8"
"C:\Users\Al_Yafour\Desktop\Github Al YAFOUR\ERB-project\ERB-core-Frontend\app\hr\payroll\page.tsx","139","6.71"
